from_id,to_id,walk_d
5934868,5934869,548
5934868,5936681,705
5934868,5936682,783
5934869,5931240,705
5934869,5933054,783
5934869,5933055,470
5934869,5934867,783
5934869,5934868,548
5934869,5934869,0
5934869,5934870,470
5934869,5934871,783
5934869,5936681,627
5934869,5936682,548
5934869,5936683,627
5934869,5938494,783
5934870,5933055,627
5934870,5933056,548
5934870,5933057,627
5934870,5934869,470
5934870,5934870,0
5934870,5934871,392
5934870,5936683,705
5934870,5936684,627
5934871,5931242,783
5934871,5933056,548
5934871,5933057,548
5934871,5934869,783
5934871,5934870,392
5934871,5934871,0
5934871,5936683,783
5934871,5936684,705
5934872,5931242,705
5934872,5933057,627
5934872,5933058,392
5934872,5933059,548
5934872,5934872,0
5934872,5934873,627
5934872,5936683,705
5934872,5936684,470
5934872,5936685,548
5934872,5938498,783
5934873,5933058,783
5934873,5933059,470
5934873,5933060,627
5934873,5934872,627
5934873,5934873,0
5934874,5933061,705
5934874,5934874,0
5934874,5934875,392
5934874,5936687,470
5934874,5936688,783
5934874,5938499,783
5934875,5931246,783
5934875,5933060,783
5934875,5933061,548
5934875,5934874,392
5934875,5934875,0
5934875,5934876,548
5934875,5936687,627
5934875,5936688,470
5934875,5936689,548
5934875,5938500,783
5934876,5933061,783
5934876,5933062,627
5934876,5933063,548
5934876,5934875,548
5934876,5934876,0
5934876,5934877,548
5934876,5936688,627
5934876,5936689,470
5934876,5936690,627
5934876,5938500,783
5934876,5938502,783
5934877,5933062,783
5934877,5933063,548
5934877,5933064,783
5934877,5934876,548
5934877,5934877,0
5934877,5934878,705
5934877,5936689,548
5934877,5936690,470
5934877,5938502,783
5934878,5933063,705
5934878,5933064,470
5934878,5934877,705
5934878,5934878,0
5934878,5936690,627
5934878,5931249,783
5936674,5934860,627
5936674,5934861,627
5936675,5934860,783
5936675,5934861,783
5936676,5934865,783
5936677,5934865,627
5936678,5934865,470
5936678,5934866,548
5936678,5938492,783
5936679,5934865,548
5936679,5934866,470
5936679,5934867,705
5936679,5936681,783
5936679,5938492,627
5936679,5938493,783
5936680,5934865,783
5936680,5934866,627
5936680,5934867,548
5936680,5934868,705
5936680,5936681,470
5936680,5936682,783
5936680,5938492,470
5936680,5938493,627
5936680,5938494,783
5936680,5940302,783
5936681,5934866,783
5936681,5934867,627
5936681,5934868,705
5936681,5934869,627
5936681,5936681,0
5936681,5936682,470
5936681,5936683,783
5936681,5938492,627
5936681,5938493,548
5936681,5938494,470
5936681,5938495,783
5936681,5940302,705
5936681,5940303,783
5936681,5940304,783
5936682,5934867,783
5936682,5934868,783
5936682,5934869,548
5936682,5936681,470
5936682,5936682,0
5936682,5936683,470
5936682,5936684,705
5936682,5938494,470
5936682,5938495,705
5936682,5938496,783
5936682,5940304,783
5936683,5934869,627
5936683,5934870,705
5936683,5934871,783
5936683,5934872,705
5936683,5936681,783
5936683,5936682,470
5936683,5936683,0
5936683,5936684,470
5936683,5938494,705
5936683,5938495,548
5936683,5938496,627
5936684,5933058,783
5936684,5934870,627
5936684,5934871,705
5936684,5934872,470
5936684,5936682,705
5936684,5936683,470
5936684,5936684,0
5936684,5936685,705
5936684,5938495,548
5936684,5938496,470
5936684,5938497,627
5936685,5933058,783
5936685,5934872,548
5936685,5936684,705
5936685,5936685,0
5936685,5938498,705
5936686,5936686,0
5936686,5938497,705
5936686,5938498,548
5936686,5938499,548
5936687,5934874,470
5936687,5934875,627
5936687,5936687,0
5936687,5936688,627
5936687,5938499,705
5936687,5938500,705
5936688,5934874,783
5936688,5934875,470
5936688,5934876,627
5936688,5936687,627
5936688,5936688,0
5936688,5936689,627
5936688,5938499,705
5936688,5938500,548
5936689,5933062,783
5936689,5933063,783
5936689,5934875,548
5936689,5934876,470
5936689,5934877,548
5936689,5936688,627
5936689,5936689,0
5936689,5936690,470
5936689,5938500,627
5936689,5938502,627
5936690,5933063,783
5936690,5933064,783
5936690,5934876,627
5936690,5934877,470
5936690,5934878,627
5936690,5936689,470
5936690,5936690,0
5936690,5938502,548
5936691,5934878,470
5936691,5938504,705
5938486,5940296,783
5938487,5940296,705
5938487,5942105,783
5938489,5940300,783
5938489,5940301,783
5938489,5942107,783
5938490,5934865,783
5938490,5938492,705
5938490,5940300,548
5938490,5940301,548
5938490,5940302,783
5938490,5942107,783
5938490,5942108,783
5938491,5934865,783
5938491,5934866,783
5938491,5938492,470
5938491,5940300,627
5938491,5940301,548
5938491,5940302,627
5938491,5942110,783
5938492,5936681,627
5938492,5938492,0
5938492,5938493,627
5938492,5940301,627
5938492,5940302,627
5938493,5936681,548
5938493,5938492,627
5938493,5938493,0
5938493,5938494,783
5938493,5940301,783
5938493,5940302,627
5938494,5934869,783
5938494,5936681,470
5938494,5936682,470
5938494,5936683,705
5938494,5938493,783
5938494,5938494,0
5938494,5938495,470
5938494,5938496,705
5938494,5940303,627
5938494,5940304,392
5938494,5940305,548
5938495,5936681,783
5938495,5936682,705
5938495,5936683,548
5938495,5936684,548
5938495,5938494,470
5938495,5938495,0
5938495,5938496,392
5938495,5938497,783
5938495,5940303,783
5938495,5940304,548
5938495,5940305,470
5938495,5940306,627
5938496,5936682,783
5938496,5936683,627
5938496,5936684,470
5938496,5938494,705
5938496,5938495,392
5938496,5938496,0
5938496,5938497,470
5938496,5938498,705
5938496,5940305,783
5938496,5940306,705
5938496,5940307,705
5938497,5936684,627
5938497,5936686,705
5938497,5938495,783
5938497,5938496,470
5938497,5938497,0
5938497,5938498,470
5938497,5940305,783
5938497,5940306,705
5938497,5940307,548
5938497,5940308,627
5938498,5934872,783
5938498,5936685,705
5938498,5936686,470
5938498,5938496,705
5938498,5938497,470
5938498,5938498,0
5938498,5938499,627
5938498,5940307,548
5938498,5940308,627
5938498,5942116,783
5938499,5934874,783
5938499,5936686,548
5938499,5936687,705
5938499,5936688,705
5938499,5938498,627
5938499,5938499,0
5938499,5938500,705
5938499,5940308,705
5938500,5934875,783
5938500,5934876,783
5938500,5936687,705
5938500,5936688,548
5938500,5936689,627
5938500,5938499,705
5938500,5938500,0
5938500,5938501,705
5938500,5940309,705
5938500,5940310,627
5938501,5938500,705
5938501,5938501,0
5938501,5940309,783
5938501,5940310,705
5938501,5938502,705
5940296,5940296,0
5940296,5942105,548
5940296,5942102,783
5940296,5942103,548
5940296,5942104,627
5940297,5940296,470
5940297,5942105,470
5940297,5942103,705
5940297,5942104,705
5940298,5940296,783
5940298,5942105,783
5940298,5942107,627
5940299,5940300,783
5940299,5940301,783
5940299,5942107,392
5940300,5940300,0
5940300,5940301,392
5940300,5940302,705
5940300,5942108,470
5940300,5942109,627
5940301,5938492,627
5940301,5938493,783
5940301,5940300,392
5940301,5940301,0
5940301,5940302,392
5940301,5940303,783
5940301,5942108,627
5940301,5942109,705
5940301,5942110,548
5940302,5936681,705
5940302,5938492,627
5940302,5938493,627
5940302,5940300,705
5940302,5940301,392
5940302,5940302,0
5940302,5940303,548
5940302,5942110,548
5940302,5942111,705
5940303,5936681,783
5940303,5938494,627
5940303,5938495,783
5940303,5940301,783
5940303,5940302,548
5940303,5940303,0
5940303,5940304,470
5940303,5940305,783
5940303,5942110,705
5940303,5942111,627
5940304,5936681,783
5940304,5936682,783
5940304,5938494,392
5940304,5938495,548
5940304,5940303,470
5940304,5940304,0
5940304,5940305,392
5940304,5940306,705
5940304,5942111,705
5940304,5942112,627
5940304,5942113,627
5940305,5938494,548
5940305,5938495,470
5940305,5938496,783
5940305,5938497,783
5940305,5940303,783
5940305,5940304,392
5940305,5940305,0
5940305,5940306,392
5940305,5940307,705
5940305,5942111,705
5940305,5942112,627
5940305,5942113,705
5940305,5942114,705
5940306,5938495,627
5940306,5938496,705
5940306,5938497,705
5940306,5940304,705
5940306,5940305,392
5940306,5940306,0
5940306,5940307,548
5940306,5942113,548
5940306,5942114,548
5940306,5942115,705
5940307,5938496,705
5940307,5938497,548
5940307,5938498,548
5940307,5940305,705
5940307,5940306,548
5940307,5940307,0
5940307,5940308,627
5940307,5942113,705
5940307,5942114,627
5940307,5942115,705
5940307,5942116,783
5940308,5938497,627
5940308,5938498,627
5940308,5938499,705
5940308,5940307,627
5940308,5940308,0
5940308,5940309,548
5940308,5942114,783
5940308,5942115,705
5940308,5942116,470
5940308,5942117,548
5940308,5942118,783
5940308,5943924,705
5940309,5938500,705
5940309,5938501,783
5940309,5940308,548
5940309,5940309,0
5940309,5940310,470
5940309,5942116,705
5940309,5942117,470
5940309,5942118,548
5940309,5943925,705
5940310,5938500,627
5940310,5938501,705
5940310,5940309,470
5940310,5940310,0
5940310,5942117,627
5940310,5942118,548
5940310,5942119,783
5940310,5943926,783
5940311,5940311,0
5940311,5942118,548
5940311,5942119,627
5940311,5943926,783
5940311,5943927,783
5940311,5940312,705
5942105,5940296,548
5942105,5942105,0
5942105,5942106,627
5942105,5942103,783
5942105,5942104,705
5942105,5943913,705
5942105,5943914,548
5942105,5945719,783
5942106,5942105,627
5942106,5942106,0
5942106,5943914,705
5942107,5942107,0
5942108,5940300,470
5942108,5940301,627
5942108,5942108,0
5942108,5942109,548
5942109,5940300,627
5942109,5940301,705
5942109,5942108,548
5942109,5942109,0
5942109,5942110,548
5942109,5942111,705
5942109,5943918,627
5942110,5940301,548
5942110,5940302,548
5942110,5940303,705
5942110,5942109,548
5942110,5942110,0
5942110,5942111,470
5942110,5942112,783
5942110,5943918,470
5942110,5943919,705
5942110,5945724,783
5942111,5940302,705
5942111,5940303,627
5942111,5940304,705
5942111,5940305,705
5942111,5942109,705
5942111,5942110,470
5942111,5942111,0
5942111,5942112,392
5942111,5942113,783
5942111,5943918,627
5942112,5940304,627
5942112,5940305,627
5942112,5942110,783
5942112,5942111,392
5942112,5942112,0
5942112,5942113,783
5942113,5940304,627
5942113,5940305,705
5942113,5940306,548
5942113,5940307,705
5942113,5942111,783
5942113,5942112,783
5942113,5942113,0
5942113,5942114,705
5942114,5940305,783
5942114,5940306,548
5942114,5940307,627
5942114,5940308,783
5942114,5942113,705
5942114,5942114,0
5942114,5942115,392
5942114,5942116,705
5942114,5943921,548
5942114,5943922,470
5942114,5943923,705
5942114,5945729,783
5942115,5940306,705
5942115,5940307,705
5942115,5940308,705
5942115,5942114,392
5942115,5942115,0
5942115,5942116,392
5942115,5942117,705
5942115,5943922,627
5942115,5943923,705
5942115,5943924,627
5942115,5945729,783
5942116,5938498,783
5942116,5940307,783
5942116,5940308,470
5942116,5940309,705
5942116,5942114,705
5942116,5942115,470
5942116,5942116,0
5942116,5942117,392
5942116,5942118,705
5942116,5943922,783
5942116,5943923,783
5942116,5943924,392
5942116,5943925,627
5942116,5943926,783
5942116,5945730,783
5942117,5940308,548
5942117,5940309,470
5942117,5940310,627
5942117,5942115,705
5942117,5942116,392
5942117,5942117,0
5942117,5942118,392
5942117,5942119,705
5942117,5943924,627
5942117,5943925,392
5942117,5943926,548
5942117,5945731,783
5942117,5945732,783
5942118,5940308,783
5942118,5940309,548
5942118,5940310,548
5942118,5940311,548
5942118,5942116,705
5942118,5942117,392
5942118,5942118,0
5942118,5942119,470
5942118,5943925,705
5942118,5943926,470
5942118,5943927,705
5942118,5945732,783
5942119,5940310,783
5942119,5940311,627
5942119,5942117,705
5942119,5942118,470
5942119,5942119,0
5942119,5943926,627
5942119,5943927,392
5942119,5945732,783
5943915,5943915,0
5943915,5943916,392
5943915,5943913,705
5943915,5943914,783
5943915,5945719,783
5943915,5945720,627
5943915,5945721,470
5943915,5945722,548
5943915,5945723,783
5943915,5947527,783
5943916,5943915,392
5943916,5943916,0
5943916,5943918,705
5943916,5945721,705
5943916,5945722,783
5943916,5945723,783
5943917,5942110,783
5943917,5943915,705
5943917,5943916,548
5943917,5943918,548
5943917,5945724,783
5943918,5942109,627
5943918,5942110,470
5943918,5942111,627
5943918,5943916,705
5943918,5943918,0
5943918,5943919,470
5943918,5943920,705
5943918,5945723,548
5943918,5945724,470
5943918,5945725,548
5943918,5945726,783
5943919,5942110,705
5943919,5943918,470
5943919,5943919,0
5943919,5943920,470
5943919,5943921,783
5943919,5945724,627
5943919,5945725,548
5943919,5945726,548
5943919,5947530,783
5943920,5943918,705
5943920,5943919,470
5943920,5943920,0
5943920,5943921,470
5943920,5943922,783
5943920,5945727,705
5943920,5945725,627
5943920,5945726,548
5943920,5947530,783
5943921,5942114,548
5943921,5943919,783
5943921,5943920,470
5943921,5943921,0
5943921,5943922,470
5943921,5945727,470
5943921,5945726,627
5943921,5947531,783
5943922,5942114,470
5943922,5942115,627
5943922,5942116,783
5943922,5943920,783
5943922,5943921,470
5943922,5943922,0
5943922,5943923,470
5943922,5943924,783
5943922,5945727,705
5943922,5945728,705
5943922,5945729,627
5943922,5945730,783
5943922,5947532,783
5943923,5942114,705
5943923,5942115,705
5943923,5942116,783
5943923,5943922,470
5943923,5943923,0
5943923,5943924,783
5943923,5945728,627
5943923,5945729,548
5943923,5945730,548
5943924,5940308,705
5943924,5942115,627
5943924,5942116,392
5943924,5942117,627
5943924,5943922,783
5943924,5943923,783
5943924,5943924,0
5943924,5943925,548
5943924,5945729,783
5943924,5945730,470
5943924,5945731,783
5943924,5945732,783
5943925,5940309,705
5943925,5942116,627
5943925,5942117,392
5943925,5942118,705
5943925,5943924,548
5943925,5943925,0
5943925,5943926,627
5943925,5945730,705
5943925,5945731,548
5943925,5945732,548
5943925,5947536,783
5943926,5940310,783
5943926,5940311,783
5943926,5942116,783
5943926,5942117,548
5943926,5942118,470
5943926,5942119,627
5943926,5943925,627
5943926,5943926,0
5943926,5943927,548
5943926,5945731,627
5943926,5945732,470
